timestamp,direction,type,message
2026-07-05 18:31:50.870,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=47504844472C3232322E302C302E302C452C302E302C452A35430D0A245054
2026-07-05 18:31:50.870,AS_GPS_HS->Helix,nmea,"$PTSI160,4,-2,222*1C"
2026-07-05 18:31:50.870,AS_GPS_HS->Helix,raw,RAW_LEN=19 HEX=53493136302C342C2D322C3232322A31430D0A
2026-07-05 18:31:50.920,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:50.920,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:50.920,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:50.930,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:50.930,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:50.930,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:51.120,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:51.120,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:51.120,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:51.130,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:51.130,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:51.130,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:51.320,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:51.320,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:51.320,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:51.330,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:51.330,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:51.330,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:51.370,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:51.370,AS_GPS_HS->Helix,nmea,"$GPHDG,224.0,0.0,E,0.0,E*5A"
2026-07-05 18:31:51.370,AS_GPS_HS->Helix,raw,RAW_LEN=28 HEX=47504844472C3232342E302C302E302C452C302E302C452A35410D0A
2026-07-05 18:31:51.520,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:51.520,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:51.520,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:51.530,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:51.530,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
2026-07-05 18:31:51.530,AS_GPS_HS->Helix,raw,RAW_LEN=25 HEX=2C2C2C2C302C30302C39392E39392C2C2C2C2C2C2A35360D0A
2026-07-05 18:31:51.720,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=24
2026-07-05 18:31:51.720,AS_GPS_HS->Helix,nmea,"$GNRMC,,V,,,,,,,,,,N*4D"
2026-07-05 18:31:51.720,AS_GPS_HS->Helix,raw,RAW_LEN=31 HEX=474E524D432C2C562C2C2C2C2C2C2C2C2C2C4E2A34440D0A24474E4747412C
2026-07-05 18:31:51.730,AS_GPS_HS->Helix,raw,RAW_LEN=1 HEX=2C
2026-07-05 18:31:51.730,AS_GPS_HS->Helix,nmea,"$GNGGA,,,,,,0,00,99.99,,,,,,*56"
